7.3590e+00	-7.5600e-01	-5.7950e-01	-4.0990e-01
7.3710e+00	-7.5660e-01	-5.7500e-01	-4.0250e-01
7.3990e+00	-7.5820e-01	-5.7710e-01	-3.8930e-01
7.4110e+00	-7.5970e-01	-5.7700e-01	-3.7900e-01
7.8110e+00	-7.6020e-01	-5.7540e-01	-3.6960e-01
7.8150e+00	-7.6060e-01	-5.7100e-01	-3.6210e-01
7.8210e+00	-7.6190e-01	-5.6580e-01	-3.5540e-01
7.8270e+00	-7.6330e-01	-5.6650e-01	-3.4800e-01
7.8330e+00	-7.6420e-01	-5.6580e-01	-3.4030e-01
7.8390e+00	-7.6630e-01	-5.6520e-01	-3.3260e-01
7.8430e+00	-7.6690e-01	-5.6080e-01	-3.2610e-01
7.8490e+00	-7.6780e-01	-5.5820e-01	-3.1980e-01
7.8550e+00	-7.6890e-01	-5.5300e-01	-3.1420e-01
7.8610e+00	-7.7050e-01	-5.5130e-01	-3.0900e-01
7.8670e+00	-7.7150e-01	-5.5290e-01	-3.0190e-01
7.8730e+00	-7.7170e-01	-5.4920e-01	-2.9490e-01
7.8770e+00	-7.7270e-01	-5.5250e-01	-2.8900e-01
7.8830e+00	-7.7460e-01	-5.4760e-01	-2.8600e-01
7.8910e+00	-7.7440e-01	-5.4690e-01	-2.7970e-01
7.8930e+00	-7.7610e-01	-5.4450e-01	-2.7690e-01
7.8990e+00	-7.7650e-01	-5.4100e-01	-2.7160e-01
7.9050e+00	-7.7730e-01	-5.4140e-01	-2.6890e-01
7.9110e+00	-7.7750e-01	-5.4190e-01	-2.6370e-01
7.9170e+00	-7.7840e-01	-5.4100e-01	-2.6100e-01
7.9210e+00	-7.8110e-01	-5.4090e-01	-2.5680e-01
7.9270e+00	-7.8180e-01	-5.3940e-01	-2.5460e-01
7.9330e+00	-7.8230e-01	-5.3690e-01	-2.5190e-01
7.9390e+00	-7.8330e-01	-5.3570e-01	-2.4960e-01
7.9450e+00	-7.8330e-01	-5.3520e-01	-2.4850e-01
7.9490e+00	-7.8400e-01	-5.3500e-01	-2.4650e-01
7.9550e+00	-7.8510e-01	-5.3730e-01	-2.4350e-01
7.9630e+00	-7.8700e-01	-5.3060e-01	-2.4440e-01
7.9670e+00	-7.8680e-01	-5.2930e-01	-2.4440e-01
7.9710e+00	-7.8870e-01	-5.3480e-01	-2.4130e-01
7.9770e+00	-7.9060e-01	-5.3340e-01	-2.4150e-01
7.9830e+00	-7.9060e-01	-5.3340e-01	-2.4150e-01
7.9890e+00	-7.9110e-01	-5.3210e-01	-2.4150e-01
7.9930e+00	-7.9290e-01	-5.3280e-01	-2.4270e-01
7.9990e+00	-7.9450e-01	-5.2950e-01	-2.4390e-01
8.0050e+00	-7.9450e-01	-5.3000e-01	-2.4500e-01
8.0110e+00	-7.9580e-01	-5.2760e-01	-2.4640e-01
8.0170e+00	-7.9750e-01	-5.2490e-01	-2.4980e-01
8.0210e+00	-7.9790e-01	-5.2680e-01	-2.5080e-01
8.0270e+00	-7.9840e-01	-5.2540e-01	-2.5380e-01
8.0350e+00	-7.9840e-01	-5.2590e-01	-2.5480e-01
8.0370e+00	-8.0020e-01	-5.2760e-01	-2.5900e-01
8.0430e+00	-8.0160e-01	-5.2600e-01	-2.6070e-01
8.0490e+00	-8.0470e-01	-5.2410e-01	-2.6670e-01
8.0550e+00	-8.0490e-01	-5.2740e-01	-2.6790e-01
8.0610e+00	-8.0490e-01	-5.2310e-01	-2.7470e-01
8.0650e+00	-8.0710e-01	-5.2630e-01	-2.7740e-01
8.0710e+00	-8.0640e-01	-5.2360e-01	-2.8380e-01
8.0770e+00	-8.0910e-01	-5.2560e-01	-2.8630e-01
8.0830e+00	-8.1020e-01	-5.2650e-01	-2.9370e-01
